ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,-29,,Australia - New South Wales,Australia - Queensland,421.29,2
SOU-SOU,SOU,SOU,I,99,West Bound,-8,,UK,UK,0.00,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,-2,,UK,USA - West Coast,2755.25,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,0,,Australia - Queensland,Hong Kong,2870.90,3
SFO-AKL,SFO,AKL,I,16,South Pacific,0,,USA - West Coast,New Zealand,969.11,1
SFO-AKL,SFO,AKL,O,16,South Pacific,0,0,USA - West Coast,New Zealand,1116.46,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,0,,UK,USA - West Coast,1897.36,2
SOU-SOU,SOU,SOU,B,99,West Bound,0,,UK,UK,16667.40,2
AKL-HKG,AKL,HKG,I,23,GB Reef/Queensland,1,,New Zealand,Hong Kong,0.00,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,1,,Australia - Queensland,Hong Kong,2644.93,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,1,,Australia - Queensland,Hong Kong,1548.25,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,1,,Hong Kong,UAE,4861.85,2
SFO-AKL,SFO,AKL,B,16,South Pacific,1,,USA - West Coast,New Zealand,1640.55,2
SFO-AKL,SFO,AKL,I,16,South Pacific,1,,USA - West Coast,New Zealand,828.62,2
SFO-SYD,SFO,SYD,O,20,South Pacific,1,,USA - West Coast,Australia - New South Wales,4778.38,1
SFO-SYD,SFO,SYD,O,20,South Pacific,1,1,USA - West Coast,Australia - New South Wales,4972.49,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,1,1,UK,USA - West Coast,3839.02,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,1,,UK,USA - West Coast,0.00,2
SOU-SYD,SOU,SYD,B,44,West Bound,1,0,UK,Australia - New South Wales,8683.61,2
SOU-SYD,SOU,SYD,B,44,West Bound,1,,UK,Australia - New South Wales,2930.50,2
SOU-SYD,SOU,SYD,I,44,West Bound,1,,UK,Australia - New South Wales,5073.45,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,423.70,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,486.21,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,619.01,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,1,0,Australia - New South Wales,Hong Kong,1908.98,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,1,,Australia - New South Wales,Hong Kong,3667.61,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,1,,Australia - New South Wales,Singapore,5074.93,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,1,,Australia - New South Wales,Singapore,2790.20,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,1,,Australia - New South Wales,Singapore,2345.01,2
AKL-SYD,AKL,SYD,O,4,New Zealand,2,,New Zealand,Australia - New South Wales,587.90,2
BNE-HKG,BNE,HKG,S,16,GB Reef/Queensland,2,0,Australia - Queensland,Hong Kong,3301.57,1
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,2,0,Australia - Queensland,Hong Kong,787.22,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,2,,Australia - Queensland,Hong Kong,1649.40,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,2,,Australia - Queensland,Hong Kong,1397.45,2
DXB-SOU,DXB,SOU,B,19,Middle East,2,,UAE,UK,2183.04,1
DXB-SOU,DXB,SOU,B,19,Middle East,2,1,UAE,UK,1629.00,2
DXB-SOU,DXB,SOU,O,19,Middle East,2,,UAE,UK,1239.71,2
SFO-SYD,SFO,SYD,O,20,South Pacific,2,1,USA - West Coast,Australia - New South Wales,3780.85,2
SFO-SYD,SFO,SYD,O,20,South Pacific,2,,USA - West Coast,Australia - New South Wales,3608.88,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,2,,UK,USA - West Coast,5366.52,1
SOU-SOU,SOU,SOU,I,99,West Bound,2,,UK,UK,12143.69,2
SOU-SOU,SOU,SOU,I,99,West Bound,2,,UK,UK,12510.82,2
SOU-SYD,SOU,SYD,I,44,West Bound,2,,UK,Australia - New South Wales,6507.84,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,2,,Australia - New South Wales,Australia - Queensland,544.53,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,0.00,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,1494.20,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,1541.41,2
AKL-SYD,AKL,SYD,O,4,New Zealand,3,,New Zealand,Australia - New South Wales,423.31,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,3,2,Australia - Queensland,Hong Kong,1735.96,2
DXB-SOU,DXB,SOU,B,19,Middle East,3,,UAE,UK,1510.60,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,3,,Hong Kong,UK,11828.53,2
SFO-AKL,SFO,AKL,B,16,South Pacific,3,,USA - West Coast,New Zealand,908.08,2
SFO-AKL,SFO,AKL,I,16,South Pacific,3,,USA - West Coast,New Zealand,503.86,2
SFO-SYD,SFO,SYD,I,20,South Pacific,3,1,USA - West Coast,Australia - New South Wales,0.00,2
SFO-SYD,SFO,SYD,I,20,South Pacific,3,3,USA - West Coast,Australia - New South Wales,4714.43,2
SFO-SYD,SFO,SYD,O,20,South Pacific,3,,USA - West Coast,Australia - New South Wales,3473.42,2
SFO-SYD,SFO,SYD,O,20,South Pacific,3,,USA - West Coast,Australia - New South Wales,6128.13,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,3,,UK,USA - West Coast,0.00,1
SOU-SFO,SOU,SFO,O,24,Panama Canal,3,,UK,USA - West Coast,4118.22,2
SOU-SOU,SOU,SOU,I,99,West Bound,3,,UK,UK,0.00,2
SOU-SYD,SOU,SYD,B,44,West Bound,3,2,UK,Australia - New South Wales,9288.69,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,3,,Australia - New South Wales,Hong Kong,2067.55,1
SYD-SIN,SYD,SIN,I,25,Southeast Asia,3,1,Australia - New South Wales,Singapore,1868.52,2
AKL-SYD,AKL,SYD,B,4,New Zealand,4,3,New Zealand,Australia - New South Wales,556.87,2
AKL-SYD,AKL,SYD,O,4,New Zealand,4,,New Zealand,Australia - New South Wales,518.69,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,4,2,Australia - Queensland,Hong Kong,2231.02,2
DXB-SOU,DXB,SOU,B,19,Middle East,4,,UAE,UK,1657.07,2
DXB-SOU,DXB,SOU,B,19,Middle East,4,,UAE,UK,1784.15,2
DXB-SOU,DXB,SOU,O,19,Middle East,4,,UAE,UK,2433.48,2
SFO-AKL,SFO,AKL,B,16,South Pacific,4,,USA - West Coast,New Zealand,826.58,2
SFO-SYD,SFO,SYD,I,20,South Pacific,4,4,USA - West Coast,Australia - New South Wales,3467.27,2
SOU-HKG,SOU,HKG,I,63,West Bound,4,,UK,Hong Kong,0.00,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,4,,UK,USA - West Coast,6534.15,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,4,,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,S,99,West Bound,4,,UK,UK,32322.82,2
SOU-SYD,SOU,SYD,I,44,West Bound,4,,UK,Australia - New South Wales,3814.21,2
SOU-SYD,SOU,SYD,I,44,West Bound,4,,UK,Australia - New South Wales,3716.18,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,4,,Australia - New South Wales,Australia - Queensland,780.76,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,4,,Australia - New South Wales,Hong Kong,1793.50,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,4,,Australia - New South Wales,Hong Kong,1899.48,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,4,1,Australia - New South Wales,Singapore,1985.58,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,4,4,Australia - New South Wales,UK,13839.13,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,4,,Australia - New South Wales,UK,5499.65,2
AKL-SYD,AKL,SYD,I,4,New Zealand,5,,New Zealand,Australia - New South Wales,0.00,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,5,5,Australia - Queensland,Hong Kong,1423.11,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,5,,Australia - Queensland,Hong Kong,2243.02,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,5,2,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,B,99,West Bound,5,2,UK,UK,29818.23,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,4,UK,UK,12515.02,2
SOU-SOU,SOU,SOU,B,99,West Bound,5,,UK,UK,16881.41,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,0.00,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,0.00,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,13346.45,2
SOU-SYD,SOU,SYD,B,44,West Bound,5,,UK,Australia - New South Wales,3988.48,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,419.12,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,849.09,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,0.00,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,2824.01,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,,Australia - New South Wales,Hong Kong,1506.67,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,4636.27,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,2753.33,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,3,Australia - New South Wales,Hong Kong,0.00,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,5,Australia - New South Wales,Hong Kong,1600.34,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,,Australia - New South Wales,Hong Kong,1459.54,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,5,,Australia - New South Wales,Singapore,4417.92,1
SYD-SIN,SYD,SIN,I,25,Southeast Asia,5,2,Australia - New South Wales,Singapore,1919.53,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,5,,Australia - New South Wales,UK,9164.07,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,6,0,Australia - Queensland,Hong Kong,1017.33,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,6,2,Australia - Queensland,Hong Kong,2366.60,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,6,,Australia - Queensland,Hong Kong,1219.70,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,6,,Australia - Queensland,Hong Kong,1975.56,2
DXB-SOU,DXB,SOU,B,19,Middle East,6,,UAE,UK,2469.11,2
DXB-SOU,DXB,SOU,I,19,Middle East,6,,UAE,UK,2298.74,2
SFO-AKL,SFO,AKL,O,16,South Pacific,6,0,USA - West Coast,New Zealand,1210.22,2
SFO-AKL,SFO,AKL,B,16,South Pacific,6,,USA - West Coast,New Zealand,1748.91,2
SFO-AKL,SFO,AKL,B,16,South Pacific,6,,USA - West Coast,New Zealand,1535.73,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,6,6,UK,USA - West Coast,4956.04,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,6,,UK,USA - West Coast,5347.61,2
SOU-SOU,SOU,SOU,S,99,West Bound,6,,UK,UK,29770.14,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,6,2,Australia - New South Wales,Australia - Queensland,548.80,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,6,6,Australia - New South Wales,Australia - Queensland,402.54,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,6,,Australia - New South Wales,Australia - Queensland,0.00,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,6,1,Australia - New South Wales,Hong Kong,1733.51,1
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,6,,Australia - New South Wales,Hong Kong,1613.27,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,6,3,Australia - New South Wales,Hong Kong,1575.69,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,6,,Australia - New South Wales,Hong Kong,1627.87,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,6,,Australia - New South Wales,Hong Kong,2431.62,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,6,,Australia - New South Wales,Hong Kong,1873.34,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,6,3,Australia - New South Wales,Singapore,1797.65,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,6,,Australia - New South Wales,Singapore,3055.42,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,6,,Australia - New South Wales,Singapore,2233.67,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,6,0,Australia - New South Wales,UK,4864.37,1
SYD-SOU,SYD,SOU,O,55,Southeast Asia,6,,Australia - New South Wales,UK,8866.92,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,6,,Australia - New South Wales,UK,31054.70,2
AKL-SYD,AKL,SYD,I,4,New Zealand,7,0,New Zealand,Australia - New South Wales,0.00,2
AKL-SYD,AKL,SYD,B,4,New Zealand,7,5,New Zealand,Australia - New South Wales,0.00,2
AKL-SYD,AKL,SYD,B,4,New Zealand,7,,New Zealand,Australia - New South Wales,625.61,2
AKL-SYD,AKL,SYD,O,4,New Zealand,7,,New Zealand,Australia - New South Wales,378.88,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,2,Australia - Queensland,Hong Kong,1668.94,1
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,0,Australia - Queensland,Hong Kong,2136.60,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,7,0,Australia - Queensland,Hong Kong,3945.27,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,3,Australia - Queensland,Hong Kong,1587.15,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,,Australia - Queensland,Hong Kong,1756.26,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,7,,Australia - Queensland,Hong Kong,1991.63,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,7,,Australia - Queensland,Hong Kong,1680.18,2
DXB-SOU,DXB,SOU,B,19,Middle East,7,,UAE,UK,2405.23,2
DXB-SOU,DXB,SOU,B,19,Middle East,7,,UAE,UK,1918.23,2
DXB-SOU,DXB,SOU,B,19,Middle East,7,,UAE,UK,1667.25,2
DXB-SOU,DXB,SOU,B,19,Middle East,7,,UAE,UK,3655.78,2
SFO-AKL,SFO,AKL,B,16,South Pacific,7,3,USA - West Coast,New Zealand,2877.78,2
SFO-AKL,SFO,AKL,O,16,South Pacific,7,,USA - West Coast,New Zealand,1319.06,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,7,,UK,USA - West Coast,2327.36,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,7,,UK,USA - West Coast,1964.24,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,7,,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,I,99,West Bound,7,,UK,UK,0.00,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,7,4,Australia - New South Wales,Australia - Queensland,384.15,1
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,7,7,Australia - New South Wales,Australia - Queensland,545.71,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,7,,Australia - New South Wales,Australia - Queensland,609.91,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,7,4,Australia - New South Wales,Hong Kong,1576.63,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,4223.98,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,1896.69,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,0,Australia - New South Wales,Hong Kong,1358.40,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,7,0,Australia - New South Wales,Hong Kong,1626.22,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,3252.68,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,1386.37,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,3600.68,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,1434.05,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,1110.10,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,7,,Australia - New South Wales,Hong Kong,1620.85,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,7,7,Australia - New South Wales,Singapore,2222.28,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,7,,Australia - New South Wales,UK,4531.54,1
SYD-SOU,SYD,SOU,O,55,Southeast Asia,7,,Australia - New South Wales,UK,15622.51,1
AKL-SYD,AKL,SYD,B,4,New Zealand,8,,New Zealand,Australia - New South Wales,639.28,2
AKL-SYD,AKL,SYD,B,4,New Zealand,8,,New Zealand,Australia - New South Wales,772.88,2
AKL-SYD,AKL,SYD,O,4,New Zealand,8,,New Zealand,Australia - New South Wales,389.69,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,8,,Australia - Queensland,Hong Kong,1506.61,1
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,8,,Australia - Queensland,Hong Kong,1436.76,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,8,,Australia - Queensland,Hong Kong,1368.28,2
DXB-SOU,DXB,SOU,B,19,Middle East,8,,UAE,UK,3291.33,2
SFO-AKL,SFO,AKL,B,16,South Pacific,8,5,USA - West Coast,New Zealand,3210.58,2
SFO-SYD,SFO,SYD,O,20,South Pacific,8,,USA - West Coast,Australia - New South Wales,2822.68,2
SOU-SOU,SOU,SOU,S,99,West Bound,8,8,UK,UK,26277.50,2
SOU-SYD,SOU,SYD,B,44,West Bound,8,,UK,Australia - New South Wales,9851.80,2
SOU-SYD,SOU,SYD,B,44,West Bound,8,,UK,Australia - New South Wales,9520.34,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,,Australia - New South Wales,Australia - Queensland,482.84,1
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,4,Australia - New South Wales,Australia - Queensland,523.19,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,,Australia - New South Wales,Australia - Queensland,829.01,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,,Australia - New South Wales,Australia - Queensland,333.13,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,8,,Australia - New South Wales,Australia - Queensland,480.59,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,8,,Australia - New South Wales,Hong Kong,3560.21,1
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,8,1,Australia - New South Wales,Hong Kong,2171.42,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,8,,Australia - New South Wales,Hong Kong,1680.83,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,8,,Australia - New South Wales,Hong Kong,1472.17,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,8,,Australia - New South Wales,Hong Kong,1405.42,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,8,,Australia - New South Wales,Hong Kong,1537.32,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,8,,Australia - New South Wales,UK,41131.41,2
AKL-SYD,AKL,SYD,B,4,New Zealand,9,4,New Zealand,Australia - New South Wales,499.04,2
AKL-SYD,AKL,SYD,O,4,New Zealand,9,4,New Zealand,Australia - New South Wales,497.44,2
AKL-SYD,AKL,SYD,B,4,New Zealand,9,,New Zealand,Australia - New South Wales,473.43,2
AKL-SYD,AKL,SYD,I,4,New Zealand,9,,New Zealand,Australia - New South Wales,329.27,2
AKL-SYD,AKL,SYD,O,4,New Zealand,9,,New Zealand,Australia - New South Wales,347.48,2
AKL-SYD,AKL,SYD,O,4,New Zealand,9,,New Zealand,Australia - New South Wales,356.07,2
AKL-SYD,AKL,SYD,O,4,New Zealand,9,,New Zealand,Australia - New South Wales,556.12,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,9,1,Australia - Queensland,Hong Kong,1444.67,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,9,6,Australia - Queensland,Hong Kong,2812.67,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,9,9,Australia - Queensland,Hong Kong,2000.35,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,9,,Australia - Queensland,Hong Kong,1955.01,2
DXB-SOU,DXB,SOU,B,19,Middle East,9,,UAE,UK,3791.58,1
DXB-SOU,DXB,SOU,I,19,Middle East,9,,UAE,UK,0.00,2
DXB-SOU,DXB,SOU,O,19,Middle East,9,,UAE,UK,2441.19,2
HKG-SOU,HKG,SOU,I,36,Southeast Asia,9,1,Hong Kong,UK,0.00,2
HKG-SOU,HKG,SOU,I,36,Southeast Asia,9,,Hong Kong,UK,5448.54,2
SFO-AKL,SFO,AKL,I,16,South Pacific,9,,USA - West Coast,New Zealand,2586.52,2
SFO-AKL,SFO,AKL,I,16,South Pacific,9,,USA - West Coast,New Zealand,678.84,2
SFO-AKL,SFO,AKL,O,16,South Pacific,9,,USA - West Coast,New Zealand,1224.42,2
SFO-AKL,SFO,AKL,O,16,South Pacific,9,,USA - West Coast,New Zealand,1196.71,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,9,,UK,USA - West Coast,2229.35,1
SOU-SFO,SOU,SFO,I,24,Panama Canal,9,,UK,USA - West Coast,2970.66,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,9,,UK,USA - West Coast,4209.95,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,9,,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,B,99,West Bound,9,,UK,UK,22962.35,1
SOU-SOU,SOU,SOU,B,99,West Bound,9,,UK,UK,16010.52,2
SOU-SYD,SOU,SYD,B,44,West Bound,9,,UK,Australia - New South Wales,12596.72,1
SOU-SYD,SOU,SYD,B,44,West Bound,9,,UK,Australia - New South Wales,9119.78,2
SOU-SYD,SOU,SYD,B,44,West Bound,9,,UK,Australia - New South Wales,7956.89,2
SOU-SYD,SOU,SYD,S,44,West Bound,9,,UK,Australia - New South Wales,14866.94,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,9,7,Australia - New South Wales,Australia - Queensland,329.51,1
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,9,6,Australia - New South Wales,Australia - Queensland,579.16,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,9,,Australia - New South Wales,Australia - Queensland,978.91,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,9,,Australia - New South Wales,Hong Kong,2611.19,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,9,7,Australia - New South Wales,Hong Kong,1701.88,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,9,9,Australia - New South Wales,Hong Kong,3189.49,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,9,9,Australia - New South Wales,Hong Kong,1148.75,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,9,,Australia - New South Wales,Hong Kong,1929.78,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,9,,Australia - New South Wales,Hong Kong,1753.43,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,9,5,Australia - New South Wales,UK,16358.55,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,9,,Australia - New South Wales,UK,8880.31,2
SYD-SOU,SYD,SOU,S,55,Southeast Asia,9,,Australia - New South Wales,UK,18948.52,2
AKL-HKG,AKL,HKG,I,23,GB Reef/Queensland,10,,New Zealand,Hong Kong,0.00,2
AKL-SYD,AKL,SYD,B,4,New Zealand,10,,New Zealand,Australia - New South Wales,650.73,1
AKL-SYD,AKL,SYD,B,4,New Zealand,10,,New Zealand,Australia - New South Wales,611.27,2
AKL-SYD,AKL,SYD,B,4,New Zealand,10,,New Zealand,Australia - New South Wales,342.96,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,10,10,Australia - Queensland,Hong Kong,1027.22,1
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,,Australia - Queensland,Hong Kong,1627.10,1
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,2,Australia - Queensland,Hong Kong,1006.81,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,10,5,Australia - Queensland,Hong Kong,1199.89,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,8,Australia - Queensland,Hong Kong,2701.44,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,10,,Australia - Queensland,Hong Kong,1663.11,2
BNE-SOU,BNE,SOU,I,52,Southeast Asia,10,0,Australia - Queensland,UK,0.00,2
DXB-SOU,DXB,SOU,B,19,Middle East,10,,UAE,UK,2013.43,1
DXB-SOU,DXB,SOU,O,19,Middle East,10,,UAE,UK,1717.06,1
DXB-SOU,DXB,SOU,O,19,Middle East,10,0,UAE,UK,1837.55,2
DXB-SOU,DXB,SOU,B,19,Middle East,10,5,UAE,UK,2430.43,2
DXB-SOU,DXB,SOU,B,19,Middle East,10,,UAE,UK,1262.51,2
DXB-SOU,DXB,SOU,B,19,Middle East,10,,UAE,UK,1814.88,2
DXB-SOU,DXB,SOU,B,19,Middle East,10,,UAE,UK,1255.34,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,10,5,Hong Kong,UAE,2319.08,2
SFO-AKL,SFO,AKL,O,16,South Pacific,10,5,USA - West Coast,New Zealand,1273.40,2
SFO-AKL,SFO,AKL,I,16,South Pacific,10,,USA - West Coast,New Zealand,4361.32,2
SFO-AKL,SFO,AKL,I,16,South Pacific,10,,USA - West Coast,New Zealand,1075.08,2
SFO-SYD,SFO,SYD,I,20,South Pacific,10,,USA - West Coast,Australia - New South Wales,0.00,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,10,,Singapore,UK,9703.77,2
SIN-SOU,SIN,SOU,I,30,Southern Asia,10,,Singapore,UK,2544.36,2
SIN-SOU,SIN,SOU,I,30,Southern Asia,10,,Singapore,UK,2737.80,2
SOU-SOU,SOU,SOU,B,99,West Bound,10,,UK,UK,15274.37,2
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,10,,Australia - New South Wales,Australia - Queensland,463.67,2
